calc_version,year,style,style_name,style_order,horizon,horizon_months,signal_type,signal_name,month_count,factor_count,factor_month_obs,win_rate,ic_std,is_partial_year,metric,metric_name,value
v1,2021,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.833333,0.038792,False,ICIR,ICIR,1.040737
v1,2021,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.916667,0.100897,False,ICIR,ICIR,0.882362
v1,2022,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.833333,0.048546,False,ICIR,ICIR,0.597178
v1,2022,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.75,0.020508,False,ICIR,ICIR,0.79271
v1,2022,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.5,0.048345,False,ICIR,ICIR,-0.062813
v1,2022,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.333333,0.096955,False,ICIR,ICIR,-0.347531
v1,2022,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.833333,0.055834,False,ICIR,ICIR,0.707953
v1,2022,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.75,0.083578,False,ICIR,ICIR,0.774078
v1,2023,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.833333,0.059556,False,ICIR,ICIR,1.108713
v1,2023,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.833333,0.01824,False,ICIR,ICIR,1.051318
v1,2023,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.5,0.050448,False,ICIR,ICIR,-0.098032
v1,2023,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.5,0.092272,False,ICIR,ICIR,-0.0626
v1,2023,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.75,0.043536,False,ICIR,ICIR,0.833155
v1,2023,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.833333,0.080067,False,ICIR,ICIR,1.292454
v1,2024,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.833333,0.07906,False,ICIR,ICIR,0.552931
v1,2024,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.666667,0.045042,False,ICIR,ICIR,0.399022
v1,2024,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.666667,0.065889,False,ICIR,ICIR,0.416834
v1,2024,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.333333,0.114712,False,ICIR,ICIR,-0.302259
v1,2024,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.666667,0.069865,False,ICIR,ICIR,0.459548
v1,2024,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.583333,0.103383,False,ICIR,ICIR,0.548463
v1,2025,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.666667,0.063463,False,ICIR,ICIR,0.490696
v1,2025,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.666667,0.028027,False,ICIR,ICIR,0.29675
v1,2025,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.583333,0.051665,False,ICIR,ICIR,0.246007
v1,2025,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.416667,0.085852,False,ICIR,ICIR,-0.363742
v1,2025,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.916667,0.040407,False,ICIR,ICIR,1.101526
v1,2025,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.833333,0.083342,False,ICIR,ICIR,0.842164
v1,2026,value,价值,1,1M,1,neutralized,Neutralized,5,5,25,0.6,0.049478,True,ICIR,ICIR,-0.134396
v1,2026,quality,质量,2,1M,1,neutralized,Neutralized,5,4,20,0.6,0.008245,True,ICIR,ICIR,0.454436
v1,2026,growth,成长,3,1M,1,neutralized,Neutralized,5,3,15,0.8,0.0326,True,ICIR,ICIR,0.87148
v1,2026,momentum,动量,4,1M,1,neutralized,Neutralized,5,1,5,0.6,0.075391,True,ICIR,ICIR,0.477827
v1,2026,reversal,反转,5,1M,1,neutralized,Neutralized,5,2,10,0.6,0.050194,True,ICIR,ICIR,-0.176695
v1,2026,risk,风险,6,1M,1,neutralized,Neutralized,5,3,15,0.4,0.076688,True,ICIR,ICIR,-0.120298
v1,2015,value,价值,1,3M,3,neutralized,Neutralized,12,5,60,0.666667,0.088606,False,IC,IC Mean,0.066158
v1,2015,quality,质量,2,3M,3,neutralized,Neutralized,12,4,48,0.75,0.024334,False,IC,IC Mean,0.01546
v1,2015,growth,成长,3,3M,3,neutralized,Neutralized,12,3,36,0.75,0.045282,False,IC,IC Mean,0.039948
v1,2015,momentum,动量,4,3M,3,neutralized,Neutralized,12,1,12,0.416667,0.054719,False,IC,IC Mean,-0.014851
v1,2015,reversal,反转,5,3M,3,neutralized,Neutralized,12,2,24,1.0,0.060042,False,IC,IC Mean,0.079316
v1,2015,risk,风险,6,3M,3,neutralized,Neutralized,12,3,36,0.916667,0.069323,False,IC,IC Mean,0.080352
v1,2016,value,价值,1,3M,3,neutralized,Neutralized,12,5,60,1.0,0.053816,False,IC,IC Mean,0.111104
v1,2016,quality,质量,2,3M,3,neutralized,Neutralized,12,4,48,0.916667,0.013775,False,IC,IC Mean,0.024924
v1,2016,growth,成长,3,3M,3,neutralized,Neutralized,12,3,36,0.583333,0.057787,False,IC,IC Mean,0.016186
v1,2016,momentum,动量,4,3M,3,neutralized,Neutralized,12,1,12,0.25,0.058899,False,IC,IC Mean,-0.051051
v1,2016,reversal,反转,5,3M,3,neutralized,Neutralized,12,2,24,0.916667,0.043917,False,IC,IC Mean,0.07254
v1,2016,risk,风险,6,3M,3,neutralized,Neutralized,12,3,36,1.0,0.075348,False,IC,IC Mean,0.170358
v1,2017,value,价值,1,3M,3,neutralized,Neutralized,12,5,60,0.916667,0.050679,False,IC,IC Mean,0.088538
v1,2017,quality,质量,2,3M,3,neutralized,Neutralized,12,4,48,0.833333,0.026157,False,IC,IC Mean,0.033713
v1,2017,growth,成长,3,3M,3,neutralized,Neutralized,12,3,36,1.0,0.034092,False,IC,IC Mean,0.06023
v1,2017,momentum,动量,4,3M,3,neutralized,Neutralized,12,1,12,0.75,0.055393,False,IC,IC Mean,0.03327
v1,2017,reversal,反转,5,3M,3,neutralized,Neutralized,12,2,24,0.75,0.038228,False,IC,IC Mean,0.028482
v1,2017,risk,风险,6,3M,3,neutralized,Neutralized,12,3,36,1.0,0.054869,False,IC,IC Mean,0.11854
v1,2018,value,价值,1,3M,3,neutralized,Neutralized,12,5,60,0.833333,0.061351,False,IC,IC Mean,0.060701
v1,2018,quality,质量,2,3M,3,neutralized,Neutralized,12,4,48,1.0,0.015721,False,IC,IC Mean,0.020571
v1,2018,growth,成长,3,3M,3,neutralized,Neutralized,12,3,36,0.5,0.045336,False,IC,IC Mean,0.002137
v1,2018,momentum,动量,4,3M,3,neutralized,Neutralized,12,1,12,0.583333,0.091486,False,IC,IC Mean,0.008107
v1,2018,reversal,反转,5,3M,3,neutralized,Neutralized,12,2,24,0.833333,0.050189,False,IC,IC Mean,0.044505
v1,2018,risk,风险,6,3M,3,neutralized,Neutralized,12,3,36,0.75,0.109678,False,IC,IC Mean,0.108435
v1,2019,value,价值,1,3M,3,neutralized,Neutralized,12,5,60,0.916667,0.021632,False,IC,IC Mean,0.03852
v1,2019,quality,质量,2,3M,3,neutralized,Neutralized,12,4,48,1.0,0.013869,False,IC,IC Mean,0.033674
v1,2019,growth,成长,3,3M,3,neutralized,Neutralized,12,3,36,0.75,0.062961,False,IC,IC Mean,0.056526
v1,2019,momentum,动量,4,3M,3,neutralized,Neutralized,12,1,12,0.583333,0.050195,False,IC,IC Mean,0.007511
v1,2019,reversal,反转,5,3M,3,neutralized,Neutralized,12,2,24,0.333333,0.026015,False,IC,IC Mean,-0.013843
v1,2019,risk,风险,6,3M,3,neutralized,Neutralized,12,3,36,1.0,0.033003,False,IC,IC Mean,0.0922
v1,2020,value,价值,1,3M,3,neutralized,Neutralized,12,5,60,0.916667,0.05045,False,IC,IC Mean,0.047956
v1,2020,quality,质量,2,3M,3,neutralized,Neutralized,12,4,48,1.0,0.014986,False,IC,IC Mean,0.026507
v1,2020,growth,成长,3,3M,3,neutralized,Neutralized,12,3,36,0.666667,0.0578,False,IC,IC Mean,0.038371
v1,2020,momentum,动量,4,3M,3,neutralized,Neutralized,12,1,12,0.666667,0.090991,False,IC,IC Mean,0.004739
v1,2020,reversal,反转,5,3M,3,neutralized,Neutralized,12,2,24,0.583333,0.058307,False,IC,IC Mean,0.008105
v1,2020,risk,风险,6,3M,3,neutralized,Neutralized,12,3,36,0.916667,0.06092,False,IC,IC Mean,0.113268
v1,2021,value,价值,1,3M,3,neutralized,Neutralized,12,5,60,0.833333,0.067829,False,IC,IC Mean,0.069433
v1,2021,quality,质量,2,3M,3,neutralized,Neutralized,12,4,48,1.0,0.016091,False,IC,IC Mean,0.021296
v1,2021,growth,成长,3,3M,3,neutralized,Neutralized,12,3,36,0.333333,0.051971,False,IC,IC Mean,-0.010277
v1,2021,momentum,动量,4,3M,3,neutralized,Neutralized,12,1,12,0.5,0.065983,False,IC,IC Mean,-0.019463
v1,2021,reversal,反转,5,3M,3,neutralized,Neutralized,12,2,24,0.916667,0.037173,False,IC,IC Mean,0.056523
v1,2021,risk,风险,6,3M,3,neutralized,Neutralized,12,3,36,0.833333,0.086706,False,IC,IC Mean,0.11986
v1,2022,value,价值,1,3M,3,neutralized,Neutralized,12,5,60,0.833333,0.054146,False,IC,IC Mean,0.058788
v1,2022,quality,质量,2,3M,3,neutralized,Neutralized,12,4,48,1.0,0.011988,False,IC,IC Mean,0.034629
v1,2022,growth,成长,3,3M,3,neutralized,Neutralized,12,3,36,0.333333,0.038561,False,IC,IC Mean,-0.027017
