date_id,factor_code,calc_version,universe_count,valid_count,coverage,rank_ic_1m,icir_1m,rank_ic_3m,icir_3m,rank_ic_6m,icir_6m,raw_rank_ic_1m,raw_icir_1m,raw_rank_ic_3m,raw_icir_3m,raw_rank_ic_6m,raw_icir_6m
20150831,cfp_ttm,v1,1511,1458,0.964924,0.025973,0.674564,-0.034812,1.017288,0.061019,1.428307,-0.042981,0.271694,-0.217137,0.457473,-0.053882,0.619696
20150831,div_yield_ttm,v1,1511,1511,1.0,0.098271,0.629696,0.036965,0.872906,0.090914,1.165816,0.01491,0.250628,-0.170096,0.366375,-0.069732,0.505118
20150831,earnings_accel_2q_avg,v1,1511,1439,0.952349,0.069223,0.390516,0.094857,0.500094,0.125028,0.643093,0.094429,0.302138,0.110591,0.413515,0.148452,0.553727
20150831,ep_ttm,v1,1511,1511,1.0,0.091799,0.568577,0.028964,0.689126,0.074967,0.867502,0.007004,0.261088,-0.186516,0.3145,-0.086135,0.349007
20150831,fcfe_to_equity,v1,1511,1453,0.961615,-0.004704,0.234265,0.002521,0.191946,-0.036365,0.360807,-0.031387,0.13394,-0.041257,0.067703,-0.067062,0.175798
20150831,mom_6_1,v1,1511,1511,1.0,-0.03878,-0.154818,0.031286,-0.146149,-0.0257,-0.096459,-0.020887,-0.104167,0.033159,-0.000672,-0.05541,0.066693
20150831,profit_growth_yoy,v1,1511,1511,1.0,0.104743,0.318454,0.122224,0.310166,0.10029,0.237776,0.125566,0.225454,0.111663,0.208703,0.074555,0.146901
20150831,revenue_growth_yoy,v1,1511,1511,1.0,0.099262,0.307739,0.102956,0.304057,0.066351,0.244405,0.17844,0.185214,0.185433,0.156902,0.110313,0.085729
20150831,reversal_1m,v1,1511,1511,1.0,0.126852,0.624879,0.221096,0.555557,0.138435,0.490022,0.203224,0.423724,0.38405,0.440815,0.211889,0.34638
20150831,reversal_3y_6m,v1,1511,1392,0.921244,-0.130636,0.195368,-0.102716,0.454155,-0.000315,0.764196,-0.225557,0.105354,-0.2565,0.329672,-0.008439,0.6174
20150831,roe_stability_12q,v1,1511,1418,0.938451,0.063702,0.443852,0.038055,0.619553,0.014189,0.796442,0.103077,0.341148,0.054757,0.416029,0.012965,0.516131
20150831,roe_ttm_12q_avg,v1,1511,1418,0.938451,0.093068,0.3794,0.02656,0.43613,0.044503,0.571549,0.062485,0.150694,-0.142321,0.140762,-0.083131,0.150848
20150831,sp_ttm,v1,1511,1511,1.0,-0.044491,0.485371,-0.115409,0.769197,-0.013924,1.000664,-0.16392,0.252492,-0.288316,0.43479,-0.093477,0.573979
20150831,turnover_126d,v1,1511,1511,1.0,0.074952,0.775957,0.022557,1.39458,0.065092,1.713114,-0.043636,0.321295,-0.300296,0.532075,-0.098276,0.620675
20150831,turnover_21d,v1,1511,1511,1.0,0.098566,0.954622,0.053923,1.69456,0.128729,1.976091,-0.026765,0.463791,-0.290011,0.716867,-0.064914,0.808131
20150831,volatility_252d,v1,1511,1511,1.0,-0.003108,0.640687,-0.061226,1.166378,0.115541,1.571596,-0.072546,0.346019,-0.242774,0.632278,0.046712,0.794059
20150930,accruals,v1,1565,1509,0.964217,-0.021181,0.357892,0.014255,0.72855,0.005783,1.215305,-0.119473,0.211417,-0.074208,0.49856,-0.044349,0.838447
20150930,bp_mrq,v1,1565,1565,1.0,-0.07115,0.61027,0.016219,0.919814,0.059998,1.145666,-0.246012,0.28927,-0.144539,0.481868,-0.031217,0.612919
20150930,cfp_ttm,v1,1565,1509,0.964217,-0.061825,0.674564,-0.006044,1.017288,0.014918,1.428307,-0.239065,0.271694,-0.202814,0.457473,-0.125822,0.619696
20150930,div_yield_ttm,v1,1565,1565,1.0,-0.046723,0.629696,0.046473,0.872906,0.060397,1.165816,-0.186029,0.250628,-0.180182,0.366375,-0.115488,0.505118
20150930,earnings_accel_2q_avg,v1,1565,1483,0.947604,0.030023,0.390516,0.041625,0.500094,0.106839,0.643093,0.037669,0.302138,0.049491,0.413515,0.117068,0.553727
20150930,ep_ttm,v1,1565,1565,1.0,-0.052551,0.568577,0.049168,0.689126,0.072603,0.867502,-0.217519,0.261088,-0.201401,0.3145,-0.121802,0.349007
